Time Scale; Number of Packets; Total data; 
0.100000; 1587; 82324; 
0.200000; 2094; 105965; 
0.300000; 1234; 63866; 
0.400000; 2240; 112832; 
0.500000; 2919; 148621; 
0.600000; 1427; 74287; 
0.700000; 531; 26634; 
0.800000; 1852; 93271; 
0.900000; 637; 32700; 
1.000000; 87; 4350; 
1.100000; 2306; 119943; 
1.200000; 1863; 96386; 
1.300000; 1354; 68817; 
1.400000; 757; 39035; 
1.500000; 364; 19274; 
1.600000; 1368; 71205; 
1.700000; 659; 33074; 
1.800000; 801; 42343; 
1.900000; 2746; 144371; 
2.000000; 725; 36435; 
2.100000; 2319; 120408; 
2.200000; 1923; 99263; 
2.300000; 526; 26707; 
2.400000; 452; 22708; 
2.500000; 2103; 110948; 
2.600000; 1848; 93428; 
2.700000; 1676; 84662; 
2.800000; 1055; 53094; 
2.900000; 1745; 89904; 
3.000000; 332; 16941; 
3.100000; 1711; 89019; 
3.200000; 409; 20450; 
3.300000; 1547; 79176; 
3.400000; 1753; 89547; 
3.500000; 2294; 116052; 
3.600000; 2107; 109364; 
3.700000; 1844; 95002; 
3.800000; 139; 7869; 
3.900000; 2635; 135575; 
4.000000; 2106; 109835; 
4.100000; 319; 16506; 
4.200000; 1280; 67621; 
4.300000; 73; 5147; 
4.400000; 1722; 89111; 
4.500000; 1863; 96157; 
4.600000; 1911; 98475; 
4.700000; 2908; 149739; 
4.800000; 2767; 142282; 
4.900000; 2703; 138318; 
5.000000; 372; 18891; 
5.100000; 2387; 121368; 
5.200000; 273; 14068; 
5.300000; 1557; 80166; 
5.400000; 2113; 107175; 
5.500000; 2476; 126798; 
5.600000; 1014; 51953; 
5.700000; 2834; 143975; 
5.800000; 1721; 86605; 
5.900000; 1323; 68734; 
6.000000; 1481; 77485; 
6.100000; 2159; 109372; 
6.200000; 2092; 106661; 
6.300000; 2070; 107844; 
6.400000; 1167; 60384; 
6.500000; 930; 47446; 
6.600000; 2455; 125698; 
6.700000; 1926; 102623; 
6.800000; 1450; 77322; 
6.900000; 2688; 138203; 
7.000000; 371; 19033; 
7.100000; 1528; 77631; 
7.200000; 2690; 136321; 
7.300000; 1063; 53666; 
7.400000; 329; 16866; 
7.500000; 1406; 71369; 
7.600000; 414; 24834; 
7.700000; 1074; 56123; 
7.800000; 1829; 95067; 
7.900000; 550; 29189; 
8.000000; 428; 22119; 
8.100000; 2476; 128586; 
8.200000; 715; 37453; 
8.300000; 2861; 146231; 
8.400000; 2940; 150448; 
8.500000; 2160; 111721; 
8.600000; 993; 50976; 
8.700000; 147; 7958; 
8.800000; 1771; 90503; 
8.900000; 2151; 111057; 
9.000000; 80; 4037; 
9.100000; 2691; 139598; 
9.200000; 500; 26432; 
9.300000; 1996; 101192; 
9.400000; 35; 1750; 
9.500000; 108; 5400; 
9.600000; 578; 30248; 
9.700000; 397; 20054; 
9.800000; 1627; 83888; 
9.900000; 13; 650; 
10.000000; 2680; 137761; 
10.100000; 1800; 92349; 
10.200000; 427; 21452; 
10.300000; 420; 21200; 
10.400000; 170; 8530; 
10.500000; 1132; 58215; 
10.600000; 353; 18491; 
10.700000; 2504; 127403; 
10.800000; 2722; 138696; 
10.900000; 950; 48852; 
11.000000; 2641; 134851; 
11.100000; 387; 20874; 
11.200000; 2711; 140352; 
11.300000; 602; 30985; 
11.400000; 1170; 60388; 
11.500000; 1201; 64063; 
11.600000; 323; 17685; 
11.700000; 2412; 122817; 
11.800000; 2403; 122320; 
11.900000; 1537; 78481; 
12.000000; 88; 4400; 
12.100000; 2716; 144263; 
12.200000; 426; 21687; 
12.300000; 1949; 106589; 
12.400000; 316; 15952; 
12.500000; 2879; 147912; 
